,net,gross,n_active,equity
2022-08-26,-0.03288065492866051,-0.03218621048421607,9.0,1.5881118151165734
2022-09-02,0.04740238266891988,0.04740238266891988,9.0,1.663392099097762
2022-09-09,-0.06786599425052874,-0.05786599425052874,1.0,1.5505043404640184
2022-09-16,-0.04961550236679516,-0.04854407379536659,7.0,1.4735752886899998
2022-09-23,-0.022438097295950383,-0.022281847295950383,8.0,1.4405110629894653
2022-09-30,0.01666715153722385,0.01741715153722385,5.0,1.4645202791673582
2022-10-07,0.0,0.0,0.0,1.4645202791673582
2022-10-14,-0.046826482860366864,-0.04557648286036686,1.0,1.3959419454162683
2022-10-21,-0.03812336031366305,-0.03729002698032972,3.0,1.342723947654208
2022-10-28,0.035880596660310404,0.035880596660310404,3.0,1.3909016840461286
2022-11-04,-0.043202910614300205,-0.0407029106143002,1.0,1.330810682917004
2022-11-11,0.002465012044481005,0.0030900120444810053,2.0,1.3340911472793184
2022-11-18,-0.00042436920172223003,-0.00042436920172223003,2.0,1.3335250000841228
2022-11-25,-0.011943080086060718,-0.011526413419394052,3.0,1.3175986042113539
2022-12-02,-0.04714965156542794,-0.04514965156542794,5.0,1.2554742891196944
2022-12-09,-0.01861343274778272,-0.018057877192227165,9.0,1.2321056028725947
2022-12-16,-0.010939313566025169,-0.0009393135660251684,1.0,1.218627213336315
2022-12-23,-0.0014660619921374263,0.00020060467452924038,3.0,1.2168406302962582
2022-12-30,-0.0033052563646975906,-0.0029927563646975908,4.0,1.212818660058149
2023-01-06,0.0,0.0,0.0,1.212818660058149
2023-01-13,0.00639824678725895,0.00764824678725895,2.0,1.2205785731533938
2023-01-20,0.0,0.0,0.0,1.2205785731533938
2023-01-27,0.0,0.0,0.0,1.2205785731533938
2023-02-03,0.0,0.0,0.0,1.2205785731533938
2023-02-10,-0.0015052889784492307,-0.0002552889784492307,2.0,1.2187412496798946
2023-02-17,0.0,0.0,0.0,1.2187412496798946
2023-02-24,0.0,0.0,0.0,1.2187412496798946
2023-03-03,0.042772490641998145,0.04402249064199815,3.0,1.270869848376845
2023-03-10,0.0,0.0,0.0,1.270869848376845
2023-03-17,0.0,0.0,0.0,1.270869848376845
2023-03-24,0.037796782251096256,0.03904678225109626,9.0,1.3189046393054285
2023-03-31,0.01598901144157836,0.018176511441578364,4.0,1.3399926206736337
2023-04-14,-0.010488425330777843,-0.009238425330777844,2.0,1.325938208127905
2023-04-21,0.0,0.0,0.0,1.325938208127905
2023-04-28,0.0,0.0,0.0,1.325938208127905
2023-05-05,0.0,0.0,0.0,1.325938208127905
2023-05-12,0.0,0.0,0.0,1.325938208127905
2023-05-19,-0.03458335380908953,-0.03333335380908953,1.0,1.2800828179472274
2023-05-26,-0.01681091181247958,-0.01618591181247958,2.0,1.2585634585820462
2023-06-02,-0.0014687304814147981,-0.0010520638147481314,3.0,1.256714968067632
2023-06-09,-0.023336914965369677,-0.023336914965369677,3.0,1.2273871177221303
2023-06-16,0.02270496950519818,0.02270496950519818,3.0,1.2552549048010844
2023-06-23,-0.01923002595209479,-0.01860502595209479,2.0,1.2311163204052653
2023-06-30,0.01060174108331886,0.011018407749985526,3.0,1.2441682968776502
2023-07-07,-0.025151451876421427,-0.025151451876421427,3.0,1.2128756578325628
2023-07-14,0.001668079753332261,0.002293079753332261,2.0,1.2148988311607027
2023-07-21,-0.010028439027023021,-0.008778439027023022,1.0,1.2027152923084061
2023-07-28,0.028186082236661844,0.028811082236661845,2.0,1.2366151244447015
2023-08-04,0.016660513151682495,0.017410513151682495,5.0,1.257217766989082
2023-08-11,-0.0006011046646473003,-0.00024396180750444314,7.0,1.2564620475248676
2023-08-18,0.0038655550203689692,0.005532221687035636,3.0,1.2613189707005805
2023-08-25,-0.025123935362395707,-0.024290602029062375,3.0,1.2296296744093358
2023-09-01,-0.006476149246148402,-0.004809482579481735,3.0,1.2216664091203682
2023-09-08,-0.0024068837822625168,-0.0017818837822625166,6.0,1.2187260000529214
